Code,City,Country,AIRPORT
10161,Andakombe,Papua New Guinea,Andakombe
10162,Addis Ababa,Ethiopia,Bole International
10163,Aden,Yemen,Aden International
10164,Amman,Jordan,Marka International
10165,Adak Island,AK,Adak
10166,Adelaide,Australia,Adelaide International
10167,Ardmore,OK,Ardmore Municipal
10168,Andes,Colombia,Andes
10169,Andamooka,Australia,Andamooka
10170,Kodiak,AK,Kodiak
10171,Dallas,TX,Addison
10172,Camp Springs,MD,Joint Base Andrews
10173,St Andrews,United Kingdom,RAF Leuchars
10174,San Andres Island,Colombia,Gustavo Rojas Pinilla
10175,Al Dhafra,United Arab Emirates,Al Dhafra Air Base
10176,Aleneva,AK,Aleneva
10177,Padang Sidempuan,Indonesia,Aek Godang
10178,Abeche,Chad,Abeche
10180,Aioun El Atrouss,Mauritania,Aioun El Atrouss
10181,Buenos Aires,Argentina,Aeroparque Jorge Newbery
10182,Adler/Sochi,Russia,Adler/Sochi
10183,Aalesund,Norway,Vigra
10184,Allakaket,AK,Allakaket
10185,Alexandria,LA,Alexandria International
10186,Akureyri,Iceland,Akureyri
10188,San Rafael,Argentina,San Rafael
10189,Colorado Springs,CO,USAF Academy Airfield
10190,Nebraska,NE,Nebraska City Municipal
10191,Afton,WY,Afton Municipal
10192,Wadesboro,NC,Anson County Jeff Cloud Field
10194,Dallas/Fort Worth,TX,Fort Worth Alliance
10195,Afyon,Turkey,Afyon
10196,Agadir,Morocco,Inezgane
10197,Augsburg,Germany,Augsburg
10198,Pittsburgh,PA,Allegheny County
10199,Agen,France,Agen La Garenne
10200,Angoram,Papua New Guinea,Angoram
10201,Angelholm/Helsingborg,Sweden,Angelholm
10202,Kagua,Papua New Guinea,Kagua
10203,Wanigela,Papua New Guinea,Wanigela
10204,Angoon,AK,Angoon Seaplane Base
10205,Malaga,Spain,Malaga
10206,Agrinion,Greece,Agrinion
10207,Agra,India,Agra
10208,Augusta,GA,Augusta Regional at Bush Field
10209,Ciudad del Este,Paraguay,Guarani International
10210,Aguascalientes,Mexico,Jesus Teran International
10211,Acarigua,Venezuela,Oswaldo Guevara Mujica
10212,Agatti Island,India,Agatti Island
10213,Okinawa,Japan,Naha AB
10214,Abha,Saudi Arabia,Abha
10215,Ardmore,OK,Ardmore Downtown Executive
10216,Athens,GA,Athens/Ben Epps
10217,Alghero/Sassari,Italy,Alghero
10218,Ahuas,Honduras,Auas
10219,Amchitka Island,AK,Amchitka
10220,Al Hoceima,Morocco,Cherif El Idrissi International
10221,Alliance,NE,Alliance Municipal
10222,Anita Bay,AK,Anita Bay
10223,Anderson,IN,Anderson Municipal-Darlington Field
10224,Aiken,SC,Aiken Municipal
10225,Wainwright,AK,Wainwright
10226,Aitutaki,Cook Islands,Aitutaki
10227,Atlantic City,NJ,Bader Field
10228,Lake of the Ozarks,MO,Lee C Fine Memorial
10229,Ajaccio,France,Ajaccio Napoleon Bonaparte
10230,Jouf,Saudi Arabia,Al Jouf
10231,Akjoujt,Mauritania,Akjoujt
10232,Aizwal,India,Lengpui
10233,Anjouan,Comoros,Ouani
10234,Arvidsjaur,Sweden,Arvidsjaur
10235,Aracaju,Brazil,Santa Maria
10236,Agades,Niger,Mano Dayak
10237,Atka,AK,Atka
10238,Akron,OH,Akron Fulton International
10239,Kufrah,Libya,Kufra
10241,Akiak,AK,Akiak
10242,Asahikawa,Japan,Asahikawa
10243,Akhiok,AK,Akhiok
10244,Auckland,New Zealand,Auckland International
10245,King Salmon,AK,King Salmon
10246,Akron,CO,Colorado Plains Regional
10247,Anaktuvuk Pass,AK,Anaktuvuk Pass
10248,Akure,Nigeria,Akure
10249,Auki,Solomon Islands,Auki
10250,Akrotiri,Cyprus,Akrotiri
10251,Aktyubinsk,Kazakhstan,Aktyubinsk
10252,Sittwe,Burma,Sittwe
10253,Albertville,AL,Albertville Regional-Thomas J Brumlik Field
10254,Alabaster,AL,Shelby County
10255,Huntsville,AL,Huntsville Executive Tom Sharp Jr
10256,Almaty,Kazakhstan,Almaty
10257,Albany,NY,Albany International
10258,Alicante,Spain,Alicante Elche
10259,Alpine,TX,Alpine Casparis Municipal
10260,Alta,Norway,Alta
10261,Algiers,Algeria,Houari Boumediene
10262,Albany,Australia,Albany
10263,Alice,TX,Alice International
10264,Alexander Bay,South Africa,Alexander Bay
10265,Asela,Ethiopia,Asela
10266,Alamogordo,NM,Alamogordo White Sands Regional
10267,Alton,IL,St. Louis Regional
10268,Waterloo,IA,Waterloo Regional
10269,Aleppo,Syria,Aleppo International
10270,Alegrete,Brazil,Alegrete
10271,Alexandra,New Zealand,Alexandra
10272,Alamosa,CO,San Luis Valley Regional/Bergman Field
10273,Alenquer,Brazil,Alenquer
10274,Alula,Somalia,Alula
10275,Walla Walla,WA,Walla Walla Regional
10276,Alexander City,AL,Thomas C. Russell Field
10277,Alexandria,Egypt,Alexandria International
10278,Lazy Bay,AK,Alitak Seaplane Base
10279,Amarillo,TX,Rick Husband Amarillo International
10280,Ahmedabad,India,Ahmedabad
10281,Ama,Papua New Guinea,Ama
10282,Amboin,Papua New Guinea,Amboin
10283,Arba Minch,Ethiopia,Arba Minch
10284,Mataram,Indonesia,Selaparang
10285,Durango,CO,Animas Air Park
10286,Puerto Armuelles,Panama,Puerto Armuelles
10287,Amman,Jordan,Queen Alia International
10288,Alma,MI,Gratiot Community
10289,Mao,Chad,Mao
10290,Ampanihy,Madagascar,Ampanihy
10291,Ambon,Indonesia,Pattimura
10292,Amsterdam,Netherlands,Schiphol
10294,Ames,IA,Ames Municipal
10295,Ammaroo,Australia,Ammaroo Station
10296,Ambatomainty,Madagascar,Ambatomainty
10297,Anaheim,CA,Anaheim-Disneyland HP
10298,Anniston,AL,Anniston Regional
10299,Anchorage,AK,Ted Stevens Anchorage International
10300,Anderson,SC,Anderson Regional
10301,Angers,France,Angers Marce
10302,Antofagasta,Chile,Andres Sabella International
10303,Angouleme,France,Angouleme Brie Champniers
10304,Aniak,AK,Aniak
10305,Ankara,Turkey,Etimesgut
10306,Antalaha,Madagascar,Antsirabato
10307,Annette,AK,Annette Island
10308,Angoche,Mozambique,Angoche
10309,Annapolis,MD,Lee
10310,Antwerp,Belgium,Deurne
10311,Andahuaylas,Peru,Andahuaylas
10312,St. Johns,Antigua and Barbuda,V C Bird International
10313,Anvik,AK,Anvik
10314,Andeness,Norway,Andoya
10317,Lima,OH,Lima Allen County
10318,Ancona,Italy,Ancona Falconara
10319,Aomori,Japan,Aomori
10320,Karpathos,Greece,Karpathos
10321,Paso de Los Libres,Argentina,Paso de Los Libres
10322,Altoona,PA,Altoona-Blair County
10323,Alor Setar,Malaysia,Sultan Abdul Halim
10324,Amook Bay,AK,Amook Bay
10325,Denver,CO,Centennial
10326,Apolo,Bolivia,Apolo
10327,Napa,CA,Napa County
10328,San Juan Aposento,Peru,San Juan Aposento
10329,Naples,FL,Naples Municipal
10330,Aberdeen,MD,Phillips AAF
10331,Apataki,French Polynesia,Apataki
10332,Nampula,Mozambique,Nampula
10333,Alpena,MI,Alpena County Regional
10334,Apartado,Colombia,Apartado
10335,April River,Papua New Guinea,April River
10336,Jasper,TN,Marion County Brown Field
10337,Apple Valley,CA,Apple Valley
10338,Apia,Samoa,Faleolo International
10339,Qaisumah,Saudi Arabia,Hafr Al Batin
10340,Aqaba,Jordan,King Hussein International
10342,Arequipa,Peru,Rodriguez Ballon International
10343,Saqani,Fiji,Saqani
10344,Girdwood,AK,Girdwood
10345,Russellville,AR,Russellville Regional
10346,Conway,AR,Dennis F Cantrell Field
10347,New Iberia,LA,Acadiana Regional
10348,Ann Arbor,MI,Ann Arbor Municipal
10349,Arctic Village,AK,Arctic Village
10350,Alor,Indonesia,Arcadia Municipal
10351,Arecibo,PR,Antonio/Nery/Juarbe Pol
10352,Walnut Ridge,AR,Walnut Ridge Regional
10353,Arkhangelsk,Russia,Talagi
10354,Arica,Chile,Chacalluta
10355,Arusha,Tanzania,Arusha
10356,Armidale,Australia,Armidale
10357,Stockholm,Sweden,Arlanda
10358,Aragip,Papua New Guinea,Aragip
10359,Arauquita,Colombia,Arauquita
10360,Aragarcas,Brazil,Aragarcas
10361,Watertown,NY,Watertown International
10362,Aracatuba,Brazil,Aracatuba
10363,Minocqua/Woodruff,WI,Lakeland/Noble F. Lee Memorial Field
10364,Arad,Romania,Arad International
10365,Asbury Park,NJ,Asbury Park/Monmouth County
10366,Ararat,Australia,Ararat
10367,N'zeto,Angola,N'zeto
10368,Assab,Eritrea,Assab International
10369,Ashgabat,Turkmenistan,Ashgabat
10370,Ascension,Bolivia,Ascension
10371,Andros Town,The Bahamas,Fresh Creek
10372,Aspen,CO,Aspen Pitkin County Sardy Field
10373,Ashburton,New Zealand,Ashburton
10374,Nashua,NH,Boire Field
10375,Ascension Island Saint Helena,Ascension and Tristan da Cunha,Ascension Aux Af
10376,Amami O Shima,Japan,Amami
10377,Yamoussoukro,Cote d'Ivoire,Yamoussoukro
10378,Marshall,TX,Harrison County
10379,Asmara,Eritrea,Asmara International
10380,Talladega,AL,Talladega Municipal
10381,Asosa,Ethiopia,Asosa Hidase
10382,Alice Springs,Australia,Alice Springs
10383,Austin,NV,Austin
10384,Kayseri,Turkey,Kayseri
10385,Astoria/Seaside,OR,Astoria Regional
10386,Asuncion,Paraguay,Silvio Pettirossi International
10387,Aswan,Egypt,Aswan International
10388,Ashland,WI,John F Kennedy Memorial
10389,Ashley,ND,Ashley Municipal
10390,Anta,Peru,Anta Huaraz
10391,Atbara,Sudan,Atbara
10392,Arthur's Town,The Bahamas,Arthur's Town
10393,Antlers,OK,Antlers Municipal
10394,Athens,Greece,Eleftherios Venizelos International
10395,Artigas,Uruguay,Artigas International
10396,Atqasuk,AK,Atqasuk Edward Burnell Sr. Memorial
10397,Atlanta,GA,Hartsfield-Jackson Atlanta International
10398,Altamira,Brazil,Altamira
10399,Namatanai,Papua New Guinea,Namatanai
10400,Athens,OH,Ohio University
10401,Aitape,Papua New Guinea,Aitape
10402,Amritsar,India,Amritsar International
10403,Atar,Mauritania,Atar
10404,Artesia,NM,Artesia Municipal
10405,Atmautluak,AK,Atmautluak
10406,Attu,AK,Casco Cove CGS
10407,Ati,Chad,Ati
10408,Appleton,WI,Appleton International
10409,Watertown,SD,Watertown Regional
10410,Assiut,Egypt,Assiut
10411,Aruba,Aruba,Reina Beatrix International
10412,Arauca,Colombia,Santiago Perez
10413,Augustus Downs,Australia,Augustus Downs
10414,Augusta/Waterville,ME,Augusta State
10415,Abu Dhabi,United Arab Emirates,Abu Dhabi International
10416,Alakanuk,AK,Alakanuk
10417,Austin/Albert Lea,MN,Austin Municipal
10418,Auburn,CA,Auburn Municipal
10419,Auburn,AL,Auburn University Regional
10420,Aguan,Papua New Guinea,Aguan Papua N.G.
10421,Atuona,French Polynesia,Hiva Oa/Atuona
10422,Aurillac,France,Aurillac
10423,Austin,TX,Austin - Bergstrom International
10424,Wausau,WI,Wausau Downtown
10425,Araguaina,Brazil,Araguaina
10426,Aneityum,Vanuatu,Aneityum
10427,Aurora,IL,Aurora Municipal
10428,Aviano,Italy,Aviano AB
10430,Ciego de Avila,Cuba,Maximo Gomez
10431,Asheville,NC,Asheville Regional
10432,Avignon,France,Avignon Caumont
10433,Avon Park,FL,Avon Park Executive
10434,Scranton/Wilkes-Barre,PA,Wilkes Barre Scranton International
10435,Avalon,Australia,Avalon
10436,Tucson,AZ,Marana Regional
10437,Avalon,CA,Catalina
10438,Awasa,Ethiopia,Lake Awasa
10439,Wake Island,TT,Wake Island Airfield
10440,West Memphis,AR,West Memphis Municipal
10441,Awar,Papua New Guinea,Awar
10442,Andrews,TX,Andrews County
10443,Ahwaz,Iran,Ahwaz
10444,The Valley,Anguilla,Clayton J Lloyd
10445,Alexandria Bay,NY,Maxson Airfield
10446,Aramac,Australia,Aramac
10447,Alexandroupolis,Greece,Dimokritos
10448,Armenia,Colombia,El Eden
10449,Alexandria,MN,Chandler Field
10450,Spring Point,The Bahamas,Spring Point
10451,Altus,OK,Altus/Quartz Mountain Regional
10452,Akita,Japan,Akita
10453,Axum,Ethiopia,Axum Atse Yohannes IV
10454,Wapakoneta,OH,Neil Armstrong
10455,Eagle Nest,NM,Angel Fire
10456,Anthony Lagoon,Australia,Anthony Lagoon
10457,Ayacucho,Peru,Coronel FAP Alfredo Mendivil Duarte
10458,Ayers Rock,Australia,Ayers Rock Connellan
10459,Ayr,Australia,Ayr
10460,Waycross,GA,Waycross-Ware County
10461,Antalya,Turkey,Antalya
10462,Ayawasi,Indonesia,Ayawasi
10463,Grand Canyon,AZ,Valle
10464,Williams,AZ,H. A. Clark Memorial Field
10465,Glendale,AZ,Glendale Municipal
10466,Phoenix,AZ,Phoenix - Mesa Gateway
10467,Yazd,Iran,Shahid Sadooghi
10468,Apatzingan,Mexico,Pablo L. Sidar
10469,Kalamazoo,MI,Kalamazoo/Battle Creek International
10470,Samana,Dominican Republic,El Catey International
10471,Biddeford,ME,Biddeford Municipal
10472,Carrabassett,ME,Sugarloaf Regional
10473,Bialla,Papua New Guinea,Bialla
10474,Marysville,CA,Beale AFB
10475,Barranca de Upia,Colombia,Barranca de Upia
10476,Shreveport,LA,Barksdale AFB
10477,Barcelonnette,France,Barcelonnette
10478,Westfield,MA,Westfield Barnes Regional
10479,Baguio,Philippines,Baguio
10480,Manama,Bahrain,Bahrain International
10481,Buenos Aires,Costa Rica,Buenos Aires
10482,Baku,Azerbaijan,Heydar Aliyev International
10483,Batman,Turkey,Batman
10484,Battle Mountain,NV,Battle Mountain
10485,Ban Mak Khaeng,Thailand,Udorn AB
10486,Barranquilla,Colombia,Ernesto Cortissoz
10487,Baker Island,AK,Baker AAF
10488,Barth,East Germany,Barth
10489,Bauru,Brazil,Bauru-Arealva
10490,Baotou,China,Baotou
10491,Barnaul,Russia,Mikhaylovka
10492,Baia Mare,Romania,Maramures
10493,Balmaceda,Chile,Balmaceda
10494,Bay City,TX,Bay City Regional
10495,Burlington,MA,N Eng Heliport
10497,Bhubaneswar,India,Bhubaneswar
10498,Berbera,Somalia,Berbera International
10499,Barbuda,Antigua and Barbuda,Cocoa Point
10500,Basse Terre,Guadeloupe,Baillif
10501,Blackbushe,United Kingdom,Blackbushe
10502,Berberati,Central African Republic,Berberati
10503,Bucharest,Romania,Baneasa Aurel Vlaicu
10504,Blue Bell,PA,Wings Field
10505,Bambari,Central African Republic,Bambari
10506,Zambezi,Zambia,Zambezi
10507,Baracoa,Cuba,Gustavo Rizo
10508,Blacksburg,VA,Virginia Tech/Montgomery Executive
10509,Bear Creek,AK,Bear Creek
10510,Bacolod,Philippines,Bacolod
10511,Bryce Canyon,UT,Bryce Canyon
10512,Baucau,Timor-Leste,Cakung
10513,Barcaldine,Australia,Barcaldine
10514,Crestone,CO,Baca Grande
10515,Barra del Colorado,Costa Rica,Barra del Colorado
10516,Bacau,Romania,George Enescu Bacau International
10517,Barcelona,Spain,Barcelona
10518,Belle Chasse,LA,Southern Seaplane
10519,Boca Raton,FL,Boca Raton Public
10520,Bulchi,Ethiopia,Bulchi
10521,Hamilton,Bermuda,L. F. Wade International
10522,Bundaberg,Australia,Bundaberg
10523,Baudette,MN,Baudette International
10524,Blanding,UT,Blanding Municipal
10525,Bandar Lengeh,Iran,Bandar Lengeh
10526,Bird Island,Seychelles,Bird Island
10527,Bandjarmasin,Indonesia,Syamsudin Noor
10528,Bondoukou,Cote d'Ivoire,Bondoukou/Soko
10529,Hartford,CT,Bradley International
10530,Bandirma,Turkey,Bandirma
10531,Badin,Pakistan,Talhar
10532,Bandung,Indonesia,Husein Sastranegara
10533,Bhadrapur/Chandragadhi,Nepal,Chandragadhi
10534,Vadodara,India,Vadodara
10535,Bridgeport,CT,Igor I Sikorsky Memorial
10536,Brindisi,Italy,Brindisi
10537,Bardufoss,Norway,Bardufoss
10538,Bandon,OR,Bandon State
10539,Benbecula,United Kingdom,Benbecula
10540,Bedford,MA,Laurence G Hanscom Field
10541,Bluefields,Nicaragua,Bluefields
10542,Belgrade,Serbia,Beograd
10543,Benton Harbor/St. Joseph,MI,Southwest Michigan Regional
10544,Beica,Ethiopia,Beica
10545,Belem,Brazil,Val de Cans International
10547,Benghazi,Libya,Benina International
10548,Newcastle,Australia,Lake Macquarie
10549,Berlin,Germany,Berlin Metropolitan Area
10550,Brest,France,Brest Bretagne
10551,Bethel,AK,Bethel
10552,Bedourie,Australia,Bedourie North
10553,Beersheba,Israel,Teyman
10554,Beira,Mozambique,Beira
10555,Beirut,Lebanon,Rafic Hariri International
10556,Blue Fox Bay,AK,Blue Fox Bay
10557,Bradford,PA,Bradford Regional
10558,Scottsbluff,NE,Western Neb. Regional/William B. Heilig Field
10559,Seattle,WA,Boeing Field/King County International
10560,Aurora,CO,Buckley AFB
10561,Bakersfield,CA,Meadows Field
10562,Mobile,AL,Mobile Downtown
10563,Bloemfontein,South Africa,Bram Fischer International
10564,Buffalo Range,Zimbabwe,Buffalo Range
10565,Beaver Falls,PA,Beaver County
10566,Bahia de Pinas,Panama,Bahia de Pinas
10567,Bedford,IN,Virgil I Grissom Municipal
10568,Belfast,United Kingdom,Belfast Aldergrove
10569,Beaufort,SC,Beaufort County
10570,Bucaramanga,Colombia,Palonegro
10571,Booue,Gabon,Booue
10572,Borger,TX,Hutchinson County
10573,Bainbridge,GA,Decatur County Industrial Air Park
10574,Bangui,Central African Republic,Bangui-M'Poko
10575,Barbados/Bridgetown,Barbados,Grantley Adams International
10576,Baglung,Nepal,Baglung
10577,Binghamton,NY,Greater Binghamton/Edwin A. Link Field
10578,Bruggen,Germany,Bruggen
10579,Bergen,Norway,Flesland
10580,Big Lake,AK,Big Lake
10581,Bangor,ME,Bangor International
10582,Big Spring,TX,Big Spring McMahon-Wrinkle
10583,Bagdad,AZ,Bagdad
10584,Bangassou,Central African Republic,Bangassou
10585,Baghdad,Iraq,Al Muthana
10586,Bage,Brazil,Comandante Gustavo Kraemer
10587,Bergamo,Italy,Bergamo Orio Al Serio
10588,Shaikh Isa,Bahrain,Isa AB
10589,Bar Harbor,ME,Hancock County-Bar Harbor
10590,Bullhead City,AZ,Laughlin/Bullhead International
10591,Belfast,United Kingdom,Belfast City
10592,Blenheim,New Zealand,Woodbourne
10593,Brus Laguna,Honduras,Araslaya
10594,Bisha,Saudi Arabia,Bisha
10595,Bahia Blanca,Argentina,Comandante Espora
10596,Bhuj,India,Bhuj
10597,Bukhara,Uzbekistan,Bukhara
10598,Bahia de Los Angeles,Mexico,Bahia de Los Angeles North
10599,Birmingham,AL,Birmingham-Shuttlesworth International
10600,Beihan,Yemen,Beihan
10601,Bhopal,India,Raja Bhoj
10602,Broken Hill,Australia,Broken Hill
10603,Bharatpur,Nepal,Bharatpur
10604,Bathurst,Australia,Bathurst
10605,Brighton Downs,Australia,Brighton Downs
10606,Bhavnagar,India,Bhavnagar
10607,Bahawalpur,Pakistan,Bahawalpur International
10608,Birmingham,United Kingdom,Birmingham
10609,Beihai,China,Beihai
10610,Belo Horizonte,Brazil,Belo Horizonte Metropolitan Area
10611,Bastia,France,Bastia Poretta
10612,Big Creek,AK,Big Creek
10613,Block Island,RI,Block Island State
10614,Beatrice,NE,Beatrice Municipal
10615,El Paso,TX,Biggs AAF
10616,Big Delta,AK,Allen AAF
10617,Bishop,CA,Bishop
10618,Bikini Atoll,Marshall Islands,Bikini Atoll
10619,Biak,Indonesia,Manuhua
10620,Billings,MT,Billings Logan International
10621,Bimini,The Bahamas,Bimini International
10622,Bamyan,Afghanistan,Bamyan
10623,Bilbao,Spain,Bilbao
10624,Bulimba,Australia,Bulimba
10625,Biarritz,France,Biarritz Pays Basque
10626,Biratnagar,Nepal,Biratnagar
10627,Bismarck/Mandan,ND,Bismarck Municipal
10628,Bria,Central African Republic,Bria
10629,Biloxi,MS,Keesler AFB
10630,Broomfield,CO,Rocky Mountain Metro
10631,Bemidji,MN,Bemidji Regional
10632,Wooster,OH,Wayne County
10633,Banjul,The Gambia,Banjul International
10634,Bujumbura,Burundi,Bujumbura International
10635,Bahir Dar,Ethiopia,Bahir Dar Ginbot Haya International
10636,Bajura,Nepal,Bajura
10637,Bodrum,Turkey,Imsik
10638,Leon/Guanajuato,Mexico,Guanajuato International
10639,Badajoz,Spain,Badajoz
10640,Buckland,AK,Buckland
10641,Baker,OR,Baker City Municipal
10642,Brooks Lake,AK,Brooks Lake
10643,Branson,MO,Branson
10644,Kekaha Kauai,HI,Barking Sands PMRF
10645,Kota Kinabalu,Malaysia,Kota Kinabalu International
10646,Bangkok,Thailand,Don Mueang International
10647,Cleveland,OH,Burke Lakefront
10648,Bakelalan,Malaysia,Bakelalan
10650,Bamako,Mali,Modibo Keita
10651,Blackall,Australia,Blackall
10652,Bengkulu,Indonesia,Fatmawati Soekarno
10653,Betioky,Madagascar,Betioky
10654,Beckley,WV,Raleigh County Memorial
10655,Brookings,SD,Brookings Regional
10656,Bukavu,Congo (Kinshasa),Bukavu Kavumu
10657,Bukoba,Tanzania,Bukoba
10658,Barcelona,Venezuela,General Jose Antonio Anzoategui International
10659,Balboa,Panama,Albrook AFB
10660,Bali,Cameroon,Bali
10661,Boulder City,NV,Boulder City Municipal
10662,Borlange,Sweden,Borlange
10663,Princeton/Bluefield,WV,Mercer County
10664,Belaga,Malaysia,Belaga
10665,Blythe,CA,Blythe
10666,Bellingham,WA,Bellingham International
10667,Batna,Algeria,Mostepha Ben Boulaid
10668,Blackpool,United Kingdom,Blackpool
